bucketname,tier,env,rpm,rps
hydra-public-low,Growth,stage,40,3
hydra-public-low,Production,dev,40,3
hydra-public-low,Production,prod,80,4
hydra-public-low,Production,stage,40,3
hydra-public-medium,Develop,dev,40,3
hydra-public-medium,Develop,prod,40,3
hydra-public-medium,Develop,stage,40,3
hydra-public-medium,Enterprise,dev,80,4
hydra-public-medium,Enterprise,prod,3000,100
hydra-public-medium,Enterprise,stage,80,4
hydra-public-medium,Growth,dev,80,4
hydra-public-medium,Growth,prod,1000,35
hydra-public-medium,Growth,stage,80,4
hydra-public-medium,Production,dev,80,4
hydra-public-medium,Production,prod,320,10
hydra-public-medium,Production,stage,80,4
keto-admin-low,Develop,dev,60,3
keto-admin-low,Develop,prod,60,3
keto-admin-low,Develop,stage,60,3
keto-admin-low,Enterprise,dev,120,7
keto-admin-low,Enterprise,prod,1000,35
keto-admin-low,Enterprise,stage,120,7
keto-admin-low,Growth,dev,120,7
keto-admin-low,Growth,prod,250,10
keto-admin-low,Growth,stage,120,7
keto-admin-low,Production,dev,120,7
keto-admin-low,Production,prod,250,10
keto-admin-low,Production,stage,120,7
keto-admin-medium,Develop,dev,100,5
keto-admin-medium,Develop,prod,100,5
keto-admin-medium,Develop,stage,100,5
keto-admin-medium,Enterprise,dev,200,10
keto-admin-medium,Enterprise,prod,2000,70
keto-admin-medium,Enterprise,stage,200,10
keto-admin-medium,Growth,dev,200,10
keto-admin-medium,Growth,prod,1000,35
keto-admin-medium,Growth,stage,200,10
keto-admin-medium,Production,dev,200,10
keto-admin-medium,Production,prod,500,20
keto-admin-medium,Production,stage,200,10
keto-public-high,Develop,dev,120,7
keto-public-high,Develop,prod,120,7
keto-public-high,Develop,stage,120,7
keto-public-high,Enterprise,dev,240,10
keto-public-high,Enterprise,prod,18000,600
keto-public-high,Enterprise,stage,240,10
keto-public-high,Growth,dev,240,10
keto-public-high,Growth,prod,9000,300
keto-public-high,Growth,stage,240,10
keto-public-high,Production,dev,240,10
keto-public-high,Production,prod,1500,55
keto-public-high,Production,stage,240,10
kratos-admin-high,Develop,dev,100,5
kratos-admin-high,Develop,prod,100,5
kratos-admin-high,Develop,stage,100,5
kratos-admin-high,Enterprise,dev,200,10
kratos-admin-high,Enterprise,prod,2400,80
kratos-admin-high,Enterprise,stage,200,10
kratos-admin-high,Growth,dev,200,10
kratos-admin-high,Growth,prod,1200,45
kratos-admin-high,Growth,stage,200,10
kratos-admin-high,Production,dev,200,10
kratos-admin-high,Production,prod,400,15
kratos-admin-high,Production,stage,200,10
kratos-admin-low,Develop,dev,100,5
kratos-admin-low,Develop,prod,100,5
kratos-admin-low,Develop,stage,100,5
kratos-admin-low,Enterprise,dev,200,10
kratos-admin-low,Enterprise,prod,2400,80
kratos-admin-low,Enterprise,stage,200,10
kratos-admin-low,Growth,dev,200,10
kratos-admin-low,Growth,prod,1200,45
kratos-admin-low,Growth,stage,200,10
kratos-admin-low,Production,dev,200,10
kratos-admin-low,Production,prod,400,15
kratos-admin-low,Production,stage,200,10
kratos-admin-medium,Develop,dev,50,3
kratos-admin-medium,Develop,prod,50,3
kratos-admin-medium,Develop,stage,50,3
kratos-admin-medium,Enterprise,dev,100,5
kratos-admin-medium,Enterprise,prod,800,30
kratos-admin-medium,Enterprise,stage,100,5
kratos-admin-medium,Growth,dev,100,5
kratos-admin-medium,Growth,prod,400,15
kratos-admin-medium,Growth,stage,100,5
kratos-admin-medium,Production,dev,100,5
kratos-admin-medium,Production,prod,200,10
kratos-admin-medium,Production,stage,100,5
kratos-public-high,Develop,dev,200,10
kratos-public-high,Develop,prod,200,10
kratos-public-high,Develop,stage,200,10
kratos-public-high,Enterprise,dev,400,15
kratos-public-high,Enterprise,prod,21600,700
kratos-public-high,Enterprise,stage,400,15
kratos-public-high,Growth,dev,400,15
kratos-public-high,Growth,prod,7200,240
kratos-public-high,Growth,stage,400,15
kratos-public-high,Production,dev,400,15
kratos-public-high,Production,prod,2400,80
kratos-public-high,Production,stage,400,15
kratos-public-low,Develop,dev,50,3
kratos-public-low,Develop,prod,50,3
kratos-public-low,Develop,stage,50,3
kratos-public-low,Enterprise,dev,100,5
kratos-public-low,Enterprise,prod,1200,45
kratos-public-low,Enterprise,stage,100,5
kratos-public-low,Growth,dev,100,5
kratos-public-low,Growth,prod,600,25
kratos-public-low,Growth,stage,100,5
kratos-public-low,Production,dev,100,5
kratos-public-low,Production,prod,200,10
kratos-public-low,Production,stage,100,5
kratos-public-medium,Develop,dev,100,5
kratos-public-medium,Develop,prod,100,5
kratos-public-medium,Develop,stage,100,5
kratos-public-medium,Enterprise,dev,200,10
kratos-public-medium,Enterprise,prod,1600,55
kratos-public-medium,Enterprise,stage,200,10
kratos-public-medium,Growth,dev,200,10
kratos-public-medium,Growth,prod,800,30
kratos-public-medium,Growth,stage,200,10
kratos-public-medium,Production,dev,200,10
kratos-public-medium,Production,prod,400,15
kratos-public-medium,Production,stage,200,10
polis-public-high,Develop,dev,15,2
polis-public-high,Develop,prod,15,2
polis-public-high,Develop,stage,15,2
polis-public-high,Enterprise,dev,30,2
polis-public-high,Enterprise,prod,250,10
polis-public-high,Enterprise,stage,30,2
polis-public-high,Growth,dev,30,2
polis-public-high,Growth,prod,120,7
polis-public-high,Growth,stage,30,2
polis-public-high,Production,dev,30,2
polis-public-high,Production,prod,60,3
polis-public-high,Production,stage,30,2
polis-public-medium,Develop,dev,60,3
polis-public-medium,Develop,prod,60,3
polis-public-medium,Develop,stage,60,3
polis-public-medium,Enterprise,dev,120,7
polis-public-medium,Enterprise,prod,1000,35
polis-public-medium,Enterprise,stage,120,7
polis-public-medium,Growth,dev,120,7
polis-public-medium,Growth,prod,500,20
polis-public-medium,Growth,stage,120,7
polis-public-medium,Production,dev,120,7
polis-public-medium,Production,prod,250,10
polis-public-medium,Production,stage,120,7
